address,blockHash,blockNumber,transactionHash,data,timestamp,commitment,leafIndex,event,msg.sender,relayer,to,nullifierHash,fee
0x610B717796ad172B316836AC95a2ffad065CeaB4,0x63da0e4b0223202c50c9f1bd02206486ae23782af911f7888b8cdfb826c37b6b,12157006,0x861ac2d8d689303627f0c3b5a5b56f1c5a1844919ccf1fdbc3b17f027449d6c6,0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000060666b99,1617324953,b'\x01j\x8e\x08\xdeG\xb3\xd0\x8c\xa4\t\xb6\x90Q\x99\xb9\xa9\x9fdW\xe8g\\>\xd1%\xdf\xb5O\xa9U\xfd',0.0,Deposit,0x6b30E020E9517c519C408f51C2593E12D55B55fA,,,,
0x610B717796ad172B316836AC95a2ffad065CeaB4,0x4a6638ada52a24df3aad87925253a18590f42a5e669e1d716d3470b960953fa6,12157011,0x1064adf56cb6888f9ddae1b710052a0c18b1615af8a55cec421b72cf498b10dd,0x00000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000060666bee,1617325038,b'\x16\x98/\xc5\xa3\xfa\xc7\xfc\xb2$\x85i\x7f*\xf3\x1ct\xc6\xd2\x00\x9c\x7f~\x01\xbc\xc4\xaf\xc9@D\xe9\xf9',1.0,Deposit,0x6b30E020E9517c519C408f51C2593E12D55B55fA,,,,
0x610B717796ad172B316836AC95a2ffad065CeaB4,0x9391d338459c7406e38b73d2da3fcc252e061040f2484aab440c7b2b3c8a54e5,12162079,0x4e76e29b57004af97b393381cdd8e92bc67fe63c46d85eb278cf23f92529c64e,0x000000000000000000000000000000000000000000000000000000000000000200000000000000000000000000000000000000000000000000000000606774c9,1617392841,"b'""\xe62}\x8a\x00\xa2\x88""\x12\xd4(W\xb5{}\x80\xc8\x88gR`\x99^\xe4\x0f\xaf6%\xab\xd1:'",2.0,Deposit,0x4d57552a17BA62915fa8929266C0E416CA674Ddf,,,,
0x610B717796ad172B316836AC95a2ffad065CeaB4,0xbeb9c2b7af677e12b708a5329cb2a82c3d1753c906b3f283fee708b051c3c289,12162149,0xb230966cee985627952e2be3e39ef9a71abf88ac438f9f367fddad7f9c57be07,0x000000000000000000000000102aa209e71e117045d923a3ce54aea00de27d67260ed0c531dd3f39ed3db922812f78e604d90cb72102d2b80f66be2fdc42ed1b0000000000000000000000000000000000000000000000000000000000070ded,1617393867,,,Withdrawal,0x58F970044273705aB3B0e87828e71123A7F95c9d,0x58F970044273705aB3B0e87828e71123A7F95c9d,0x102aA209E71E117045D923a3ce54AeA00dE27d67,"b'&\x0e\xd0\xc51\xdd?9\xed=\xb9""\x81/x\xe6\x04\xd9\x0c\xb7!\x02\xd2\xb8\x0ff\xbe/\xdcB\xed\x1b'",462317.0
0x610B717796ad172B316836AC95a2ffad065CeaB4,0x586dca4c5294da2fc9d0fce9186a5ee78987087739a0b24b3793fdc0f66ec920,12163777,0x530d02dbfba78c913dcb8eab83d0391c63df8292c8aa53a331b32ed06928c721,0x0000000000000000000000006b30e020e9517c519c408f51c2593e12d55b55fa200758c32bafa81d9823591c8f485b63ef75ca665d2e558bda5e3acb7e4d8f6800000000000000000000000000000000000000000000000000000000000419a5,1617415346,,,Withdrawal,0xBe4d1e137A24af091be80Ae58d652279665e3A27,0xBe4d1e137A24af091be80Ae58d652279665e3A27,0x6b30E020E9517c519C408f51C2593E12D55B55fA,b' \x07X\xc3+\xaf\xa8\x1d\x98#Y\x1c\x8fH[c\xefu\xcaf].U\x8b\xda^:\xcb~M\x8fh',268709.0
0x610B717796ad172B316836AC95a2ffad065CeaB4,0x496b538b7e6b6bb8dc503794adc26f568a22a81f17012de37b80d7815246eef3,12163779,0xa05d63a4a33dec12ca6321adc2d43d8350ee16db52ae1ac8cbfe72206a259d83,0x0000000000000000000000006b30e020e9517c519c408f51c2593e12d55b55fa2acdc4eec767c1d000f263e9599f897408027d48d66588e7b8d6df7a59a225cf0000000000000000000000000000000000000000000000000000000000041440,1617415376,,,Withdrawal,0xBe4d1e137A24af091be80Ae58d652279665e3A27,0xBe4d1e137A24af091be80Ae58d652279665e3A27,0x6b30E020E9517c519C408f51C2593E12D55B55fA,b'*\xcd\xc4\xee\xc7g\xc1\xd0\x00\xf2c\xe9Y\x9f\x89t\x08\x02}H\xd6e\x88\xe7\xb8\xd6\xdfzY\xa2%\xcf',267328.0
0x610B717796ad172B316836AC95a2ffad065CeaB4,0x72679c3b396783fa3b8a006b1a0b32ae958fc42e31dfc31dca7d293c512a2bf4,12164384,0xd359070a446d71fb0f838dddb274dd6efe7304c855b38948e06258aa7696bebe,0x0000000000000000000000000000000000000000000000000000000000000003000000000000000000000000000000000000000000000000000000006067e9fd,1617422845,b'\x0e\x96\n#\x0b\x18\xb2w\tq\xd63/\xcf?*\x9d\xb6\x1a\n\xdb/\xed\\%L\xa28\xe8\x14\xdf\xff',3.0,Deposit,0x7487Fc547DE9ecFdF7A972F9cb2F835A26e9Adf9,,,,
0x610B717796ad172B316836AC95a2ffad065CeaB4,0x7dd86c1f7925ddb4f7b90f96641d4bae1829dc2d779aaf644bd690a3a0f97472,12166802,0x2d0074589e291355eb4a6f1d5884f9c03adf90cb7fa97c4e3c2a5d4a144912e7,0x00000000000000000000000000000000000000000000000000000000000000040000000000000000000000000000000000000000000000000000000060686acb,1617455819,"b',\xa9\xc7_c\xcbK\xccH>%\xdf\xd7\xe67\xc9\n\x80K\xc4`\x03\x18\xdc\xeck\xf9\x10\x85\x0em\xe8'",4.0,Deposit,0x7487Fc547DE9ecFdF7A972F9cb2F835A26e9Adf9,,,,
0x610B717796ad172B316836AC95a2ffad065CeaB4,0x59d6101f87e8e701ff441a915daa5aa905bc7f0a28e6aca9af052f34969d2eec,12229067,0x4bcdec589436c6d11e72db22a85b54cd400f26e24ee4f30a1110b72b6a767500,0x00000000000000000000000000000000000000000000000000000000000000050000000000000000000000000000000000000000000000000000000060750288,1618281096,b'\x11{k\xb57\xaa\x8e[\xfa\x08\xae\xf6\xc7W\xb4\xd7\xc7\x10?\xd9\xb8F\x8f\xc0\xe8\xe8Ai8\x0e\xcdS',5.0,Deposit,0x4873C7424b8dfa8399E53F22cE388AAb6CEf3D38,,,,
0x610B717796ad172B316836AC95a2ffad065CeaB4,0xef2b0f606bfb197aa2e5b56bee67b155b7fb4b2dcb4637e1c970f59d8d9363ee,12246669,0x8c0bb50f688500c054e76c3258e1b46e9c4c243a06654c5eee7ea6d81ad94f20,0x00000000000000000000000000000000000000000000000000000000000000060000000000000000000000000000000000000000000000000000000060789811,1618515985,"b""){jt.\xadS\xe7S_I<\x1c\xbak\xad\xd9\xc5\xad\xaf\xe1e\x9cN'\x8a\x87\xdb\xd9SD:""",6.0,Deposit,0x14c90b59F95B9405113Dfedbae88fDD20C29ee36,,,,
